family,type,count,corrected_family
IPA,IPA,24,
IPA,Hazy IPA,15,
IPA,Double IPA,7,
IPA,West Coast IPA,4,
IPA,American Double IPA,2,
IPA,NZ IPA,2,
IPA,Black IPA,1,
IPA,Brut Hazy DIPA,1,
IPA,Brut IPA,1,
IPA,Central Otago IPA,1,
IPA,Cloudy IPA,1,
IPA,Coconut Hazy IPA,1,
IPA,English Style IPA,1,
IPA,Fresh IPA,1,
IPA,Hazy Double IPA,1,
IPA,Hop Oil IPA,1,
IPA,Imperial IPA,1,
IPA,India Pale Lager,1,Lager
IPA,Mandarin IPA,1,
IPA,NZ Double IPA,1,
IPA,NZIPA,1,
IPA,Red IPA,1,
IPA,Red Rye IPA,1,
IPA,Session IPA,1,
IPA,Session Red IPA,1,
IPA,Single Malt IPA,1,
IPA,Sitiva IPA,1,
IPA,Terpene IPA,1,
IPA,Unfiltered IIPA,1,
Pale,Pale Ale,25,
Pale,APA,8,
Pale,NZ Pale Ale,8,
Pale,Hazy Pale Ale,4,
Pale,Pacific Pale Ale,4,
Pale,Juicy Pale Ale,3,
Pale,New Zealand Pale Ale,2,
Pale,XPA,2,
Pale,American Pale Ale,1,
Pale,Aotearoa Pale Ale,1,
Pale,Auckland Super Pale Ale,1,
Pale,Belgian Pale Strong Ale,1,
Pale,English Pale Ale,1,
Pale,Fuzzy Pale Ale,1,
Pale,Irish Pale Ale,1,
Pale,NZ APA,1,
Pale,Session Pale Ale,1,
Pale,Single Hop Pale Ale,1,
Lager,Lager,23,
Lager,Hoppy Lager,2,
Lager,Blonde Lager,1,
Lager,Chilli Lager,1,
Lager,Citrus Lager,1,
Lager,Craft Lager,1,
Lager,Dark Lager,1,
Lager,Double Lager,1,
Lager,Golden Lager,1,
Lager,Irish Lager,1,
Lager,Manuka Smoked Lager,1,
Lager,Yuzu Dry Lager,1,
Pilsner,Pilsner,14,
Pilsner,Italian Pilsner,1,
Pilsner,NZ Pilsner,1,
Pilsner,Organic Pilsner,1,
Wheat,Weisse,2,
Wheat,Bavarian Hefe,1,
Wheat,German Wheat Beer,1,
Wheat,Weissbier,1,
Wheat,Witbier,1,
Stout/Porter,Stout,13,
Stout/Porter,Porter,9,
Stout/Porter,Imperial Pastry Stout,5,
Stout/Porter,Milk Stout,3,
Stout/Porter,Chocolate Rye Stout,1,
Stout/Porter,Chocolate Stout,1,
Stout/Porter,Coconut Porter,1,
Stout/Porter,Dark Side Stout,1,
Stout/Porter,Export Stout,1,
Stout/Porter,Imperial Stout,1,
Stout/Porter,India Stout,1,
Stout/Porter,London Porter,1,
Stout/Porter,Mocha Milk Stout,1,
Stout/Porter,Oatmeal Stout,1,
Stout/Porter,Roasted Out Stout,1,
Stout/Porter,Salted Caramel Stout,1,
Stout/Porter,Toasted Marshmallow Stout,1,
Sour,Ice Cream Sour,5,
Sour,Sorbet Sour,3,
Sour,Sour,3,
Sour,Fruited Sour,2,
Sour,Boysenberry Gose,1,
Sour,Classic Gose,1,
Sour,Dill Pickle Gose,1,
Sour,Ecklonian Seaweed Sour,1,
Sour,Fruit Sour,1,
Sour,Gose,1,
Sour,Mini Sour Ale,1,
Sour,Pastry Sour,1,
Sour,Raspberry Sour,1,
Sour,Rose Gose,1,
Sour,Salted Lime Sour,1,
Sour,Smoothie Sour,1,
Sour,Sol Berry Sour,1,
Sour,Sour Ale Sorbet,1,
Sour,Tropical Fruit Gose,1,
Sour,Wild & Hazy Double IPA,1,
Sour,Wild Sour,1,
Ale,Red Ale,7,
Ale,Amber Ale,4,
Ale,Dark Ale,3,
Ale,Ale,2,
Ale,Barrel Aged Saison,2,
Ale,Belgian Dark Ale,2,
Ale,Golden Ale,2,
Ale,Honey Golden Ale,2,
Ale,American Amber Ale,1,
Ale,American Dark Ale,1,
Ale,Belgian Tripel,1,
Ale,Bitter,1,
Ale,Blond Ale,1,
Ale,Bright Ale,1,
Ale,Brown Ale,1,
Ale,Extra Special Bitter,1,
Ale,Farmhouse Ale,1,
Ale,India Brown Ale,1,
Ale,Irish Ale,1,
Ale,ITM Brown Ale,1,
Ale,New Zealand Ale,1,
Ale,Saison,1,
Ale,Salty Seaweed Ale,1,
Ale,Scotch Ale,1,
Ale,Session Ale,1,
Ale,Spiced Ale,1,
Ale,Spiced Belgian Strong Ale,1,
Ale,Spiced Brown Ale,1,
Ale,Strong Spiced Ale,1,
Ale,Superior Dark Ale,1,
Cider,Cider,6,
Other,,77,
Other,Ginger Beer,3,
Other,Living Beer,3,
Other,Mix Box,2,
Other,Root Beer,2,
Other,Variety,2,
Other,Bar,1,
Other,Barleywine,1,
Other,Beer,1,
Other,Belgian Quadruple,1,
Other,Champagne,1,
Other,Coaster,1,
Other,Disco Beer,1,
Other,Draft Beer,1,
Other,Garage Project,1,
Other,Paddle,1,
Other,Pinot Gris,1,
Other,Sahti,1,
Other,Sampler,1,
Other,Soda,1,
Other,Sparkling Wine,1,
Other,Tasting,1,
Other,Whisky,1,
